example_id                                                               | status | run_time        |
./spec/activerecord/friend_spec.rb[1:1:1:1:1:6]                          | passed | 0.0146 seconds  |
./spec/activerecord/friend_spec.rb[1:1:1:1:1:7]                          | passed | 0.00904 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:1:8]                          | passed | 0.00954 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:1]                          | passed | 0.03489 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:2]                          | passed | 0.03199 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:3]                          | passed | 0.04134 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:4]                          | passed | 0.04546 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:5]                          | passed | 0.03072 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:6]                          | passed | 0.04239 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:7]                          | passed | 0.02489 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:8]                          | passed | 0.0333 seconds  |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:9]                          | passed | 0.02867 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:10]                         | passed | 0.02925 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:11]                         | passed | 0.03479 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:12]                         | passed | 0.05376 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:13]                         | passed | 0.05556 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:14]                         | passed | 0.04071 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:15]                         | passed | 0.0302 seconds  |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:16]                         | passed | 0.03122 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:17]                         | passed | 0.02704 seconds |
./spec/activerecord/friend_spec.rb[1:1:1:1:2:18]                         | passed | 0.02613 seconds |
